as_of,system,location,employees,inmates,inmate_deaths
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,Adult Diagnostic and Treatment Center,76,336,14
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,Bayside State Prison,5,80,0
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,Central Office Headquarters,23,0,0
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,Central Reception and Assignment Facility,55,152,1
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,Correctional Staff Training Academy,2,0,0
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,Custody Recruitment Unit,2,0,0
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,East Jersey State Prison,94,165,8
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,Edna Mahan Correctional Facility for Women,77,114,2
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,Garden State Youth Correctional Facility,37,364,0
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,Mid-State Correctional Facility,60,76,1
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,Mountainview Youth Correctional Facility,35,196,0
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,New Jersey State Prison,58,150,5
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,Northern State Prison,142,192,9
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,South Woods State Prison,35,561,5
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,Southern State Correctional Facility,80,154,0
2020-06-16T15:32:56Z,PRISONS AND ANCILLARY LOCATIONS,Totals,781,2540,45
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Bo Robinson Assessment and Treatment,NA,47,1
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Clinton House,NA,0,0
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Columbus House,NA,6,0
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,"CURA, Inc.",NA,0,0
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fenwick House,NA,0,0
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fletcher House,NA,1,0
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Garrett House,NA,3,0
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Hope Hall,NA,12,0
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,James A. Hemm House,NA,1,0
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 1,NA,10,0
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 2,NA,14,0
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Newark,NA,10,0
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,The Harbor House,NA,5,0
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Tully House,NA,6,0
2020-06-16T15:32:56Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Totals,NA,115,1
