as_of,system,location,employees,inmates,inmate_deaths
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,Adult Diagnostic and Treatment Center,75,253,14
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,Bayside State Prison,5,79,0
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,Central Office Headquarters,21,0,0
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,Central Reception and Assignment Facility,55,139,1
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,Correctional Staff Training Academy,2,0,0
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,Custody Recruitment Unit,2,0,0
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,East Jersey State Prison,93,142,8
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,Edna Mahan Correctional Facility for Women,77,95,2
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,Garden State Youth Correctional Facility,36,204,0
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,Mid-State Correctional Facility,60,73,1
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,Mountainview Youth Correctional Facility,29,192,0
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,New Jersey State Prison,58,125,5
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,Northern State Prison,142,112,9
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,South Woods State Prison,31,289,5
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,Southern State Correctional Facility,79,134,0
2020-06-02T01:50:25Z,PRISONS AND ANCILLARY LOCATIONS,Totals,765,1837,45
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Bo Robinson Assessment and Treatment,NA,47,1
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Clinton House,NA,0,0
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Columbus House,NA,6,0
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,"CURA, Inc.",NA,0,0
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fenwick House,NA,0,0
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fletcher House,NA,0,0
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Garrett House,NA,1,0
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Hope Hall,NA,0,0
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,James A. Hemm House,NA,0,0
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 1,NA,0,0
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 2,NA,0,0
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Newark,NA,9,0
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,The Harbor House,NA,2,0
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Tully House,NA,2,0
2020-06-02T01:50:25Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Totals,NA,67,1
