as_of,system,location,employees,inmates,inmate_deaths
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,Adult Diagnostic and Treatment Center,52,97,5
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,Bayside State Prison,4,6,0
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,Central Office Headquarters,16,0,0
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,Central Reception and Assignment Facility,42,38,1
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,Correctional Staff Training Academy,2,0,0
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,Custody Recruitment Unit,0,0,0
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,East Jersey State Prison,73,23,8
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,Edna Mahan Correctional Facility for Women,73,47,2
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,Garden State Youth Correctional Facility,26,11,0
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,Mid-State Correctional Facility,49,23,1
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,Mountainview Youth Correctional Facility,29,86,0
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,New Jersey State Prison,48,21,4
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,Northern State Prison,112,46,8
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,South Woods State Prison,16,42,4
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,Southern State Correctional Facility,62,70,0
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,STU,1,15,9
2020-05-15T01:58:37Z,PRISONS AND ANCILLARY LOCATIONS,Totals,605,525,42
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Bo Robinson Assessment and Treatment,NA,7,1
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Clinton House,NA,0,0
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Columbus House,NA,0,0
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,"CURA, Inc.",NA,0,0
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fenwick House,NA,0,0
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Fletcher House,NA,1,0
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Garrett House,NA,0,0
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Hope Hall,NA,1,0
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,James A. Hemm House,NA,2,0
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 1,NA,0,0
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Bridgeton 2,NA,0,0
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Kintock Newark,NA,3,0
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,The Harbor House,NA,4,0
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Tully House,NA,1,0
2020-05-15T01:58:37Z,RESIDENTIAL COMMUNITY RELEASE PROGRAM,Totals,NA,19,1
